window,label,mode,status,coin,side,ts_open,ts_close,notional,potential_pp,cash_bybit_after_open,cash_okx_after_open,cash_bybit_after_close,cash_okx_after_close,cash_bybit,cash_okx,equity_bybit,equity_okx,pnl_bybit,pnl_okx,fee_bybit,fee_okx
all,frozen,fixed100,closed,ICX,short,1788194771,1788195248,100.0,0.2572660863399506,204.9592857744399,23.61687537593549,204.57866779691182,24.40450328291223,204.57866779691182,24.40450328291223,204.57866779691182,24.40450328291223,-0.2808988764044991,0.8372093023255796,0.19971910112359548,0.0995813953488372
all,frozen,fixed100,closed,ICX,short,1788219059,1788232500,100.0,0.3410256624221802,204.47866779691182,24.35450328291223,203.55000420244178,25.770437348846283,203.55000420244178,25.770437348846283,203.55000420244178,25.770437348846283,-0.8294930875576019,1.4652014652014531,0.19917050691244242,0.09926739926739926
all,frozen,fixed100,closed,ICX,short,1788251049,1788257155,100.0,0.2612582266330719,203.4500042024418,25.720437348846282,202.87877778734745,26.70188064781536,202.87877778734745,26.70188064781536,202.87877778734745,26.70188064781536,-0.4716981132075443,1.030927835051553,0.19952830188679246,0.09948453608247422
all,frozen,fixed100,closed,ICX,short,1788261243,1788266736,100.0,0.26916747987270356,202.77877778734745,26.65188064781536,203.82267091711844,26.032875908478875,203.82267091711844,26.032875908478875,203.82267091711844,26.032875908478875,1.1450381679389343,-0.5687203791469126,0.2011450381679389,0.10028436018957346
all,frozen,fixed100,closed,ICX,short,1788285394,1788289449,100.0,0.28252429962158204,203.72267091711845,25.982875908478874,203.13487794836843,27.00137105410995,203.13487794836843,27.00137105410995,203.13487794836843,27.00137105410995,-0.488281250000014,1.0679611650485508,0.19951171875,0.09946601941747571
all,frozen,fixed100,closed,ICX,short,1788307078,1788310921,100.0,0.2861744284629822,203.03487794836843,26.95137105410995,201.55422641825984,28.863135759992307,201.55422641825984,28.863135759992307,201.55422641825984,28.863135759992307,-1.3820335636722556,1.9607843137254954,0.19861796643632773,0.09901960784313726
all,frozen,fixed100,closed,LA,long,1788313714,1788319013,100.0,0.2032511502504349,201.45422641825985,28.813135759992306,204.24586747542025,26.36755048088297,204.24586747542025,26.36755048088297,204.24586747542025,26.36755048088297,2.8887523048555517,-2.3967836709448114,0.19711124769514446,0.0988016081645276
all,frozen,fixed100,closed,ICX,short,1788335025,1788338017,100.0,0.23051777929067613,204.14586747542026,26.317550480882968,202.86805397059712,27.972342813151343,202.86805397059712,27.972342813151343,202.86805397059712,27.972342813151343,-1.1789924973204609,1.7039403620873315,0.19882100750267956,0.09914802981895635
all,frozen,fixed100,closed,ICX,short,1788343666,1788349466,100.0,0.22965986728668214,202.76805397059712,27.922342813151342,203.6317195654524,27.4479525692489,203.6317195654524,27.4479525692489,203.6317195654524,27.4479525692489,0.9646302250803839,-0.4241781548250277,0.20096463022508038,0.10021208907741253
all,frozen,fixed100,closed,LA,long,1788349466,1788350809,100.0,0.5037973940372467,203.53171956545242,27.3979525692489,205.16033660216698,26.422897478900722,205.16033660216698,26.422897478900722,205.16033660216698,26.422897478900722,1.7268901465679822,-0.9255178492728156,0.198273109853432,0.0995372410753636
all,frozen,fixed100,closed,ICX,short,1788352531,1788364772,100.0,0.21660920679569245,205.06033660216698,26.372897478900722,204.12696851040474,27.670721313097612,204.12696851040474,27.670721313097612,204.12696851040474,27.670721313097612,-0.834202294056311,1.3471502590673565,0.1991657977059437,0.09932642487046633
all,frozen,fixed100,closed,LA,long,1788364780,1788371361,100.0,0.22957940101623536,204.02696851040474,27.62072131309761,210.8653293612154,21.140224912377754,210.8653293612154,21.140224912377754,210.8653293612154,21.140224912377754,6.931429421389257,-6.433713257348533,0.19306857057861077,0.09678314337132574
all,frozen,fixed100,closed,ICX,short,1788371439,1788372710,100.0,0.4454739212989807,210.7653293612154,21.090224912377753,204.12681004791068,28.285592324518326,204.12681004791068,28.285592324518326,204.12681004791068,28.285592324518326,-6.5450643776823965,7.24174653887114,0.19345493562231758,0.09637912673056444
all,frozen,fixed100,closed,ICX,short,1788381010,1788384123,100.0,0.2683524310588837,204.0268100479107,28.235592324518326,203.58033605947136,29.102430812490837,203.58033605947136,29.102430812490837,203.58033605947136,29.102430812490837,-0.34682080924856085,0.9163802978235992,0.19965317919075143,0.09954180985108821
