base_coin,okx_symbol,bybit_symbol,status,in_plot_set,gecko_id,gecko_name,map_method,map_note,n_candidates,candidate_ids,market_cap_usd,median_rel_vol,mean_rel_vol,volume_cv,median_volume_usd,mean_volume_usd,n_hist_days,n_days_both,n_days_volume,n_days_mcap,hist_start,hist_end,ticker_volume_usd,ticker_mcap_usd,window_start,window_end,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,paprika_id,paprika_name
CAP,CAP-USDT-SWAP,CAPUSDT,ok,True,cap-4,Cap,markets_max_mcap,,7,"cap-4,based-brians,cap-2,cap-3,capcat,capminal,catwifcap-2",76572716.0,0.5660037383256721,0.9863359419008548,1.164806586610426,43340443.50975,75526421.95976666,30,30,30,30,2026-08-05,2026-09-03,57541653.0,76572716.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,10.0,10.0,5,cap-4,Cap
CBRS,CBRS-USDT-SWAP,CBRSUSDT,missing_market_cap,False,cerebras-systems-robinhood-tokenized-stock,Cerebras Systems • Robinhood Token,unique_symbol_not_in_top_markets,in coins/list but not in cached /markets pages,1,cerebras-systems-robinhood-tokenized-stock,,,,0.9432735489719398,7860915.4658,9744751.231256666,30,0,30,0,2026-08-05,2026-09-03,,,2026-08-05,2026-09-03,0.01,0.01,0.01,0.01,0.01,0.01,5,cerebras-systems-robinhood-tokenized-stock,Cerebras Systems • Robinhood Token
CELO,CELO-USDT-SWAP,CELOUSDT,ok,True,celo,Celo,markets_max_mcap,,1,celo,46884951.0,0.010273647773909373,0.015828374723622227,0.7940148343243751,481679.47247100004,742112.5733266666,30,30,30,30,2026-08-05,2026-09-03,16884357.0,46884951.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,celo,Celo
CFX,CFX-USDT-SWAP,CFXUSDT,ok,True,conflux-token,Conflux,markets_max_mcap,,4,"conflux-token,cf-industries-xstock,chain-fox-2,cosmic-force-token-v2",255619507.0,0.01026414020920164,0.013635503025473976,0.7234089281944877,2623714.460055,3485500.5610686666,30,30,30,30,2026-08-05,2026-09-03,4622949.0,255619507.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,conflux-token,Conflux
CHIP,CHIP-USDT-SWAP,CHIPUSDT,ok,True,chip-2,USD.AI,markets_max_mcap,,3,"chip-2,algo-casino-chips,chip-the-wooly-mouse",110339949.0,0.16358037450107937,0.22405102760584625,0.995549049417887,18049450.17985,24721778.959426664,30,30,30,30,2026-08-05,2026-09-03,94275737.0,110339949.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,10.0,10.0,5,chip-2,USD.AI
CHZ,CHZ-USDT-SWAP,CHZUSDT,ok,True,chiliz,Chiliz,markets_max_mcap,,1,chiliz,145542052.0,0.01707358578605172,0.020579365846626015,0.6686572855409948,2484924.7103,2995163.1341766664,30,30,30,30,2026-08-05,2026-09-03,22763801.0,145542052.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,chiliz,Chiliz
COAI,COAI-USDT-SWAP,COAIUSDT,ok,True,chainopera-ai,ChainOpera AI,markets_max_mcap,,1,chainopera-ai,59969717.0,0.019724529149353832,0.02792236979341868,0.8833510883565923,1182874.431045,1674496.6144806666,30,30,30,30,2026-08-05,2026-09-03,5228135.0,59969717.0,2026-08-05,2026-09-03,0.0001,1.0,1.0,0.0001,1.0,1.0,5,chainopera-ai,ChainOpera AI
COMP,COMP-USDT-SWAP,COMPUSDT,ok,True,compound-governance-token,Compound,override,,1,compound-governance-token,200963968.0,0.007061700936607701,0.013197584685348504,1.100930320245385,1419147.44105,2652238.9863836668,30,30,30,30,2026-08-05,2026-09-03,31614797.0,200963968.0,2026-08-05,2026-09-03,0.01,1.0,1.0,0.001,0.01,0.01,5,compound-governance-token,Compound
CORE,CORE-USDT-SWAP,COREUSDT,ok,True,coredaoorg,Core,markets_max_mcap,,4,"coredaoorg,core-2,cvault-finance,warpcore",32605527.0,0.07679774953991696,0.10269596691587289,0.7735823531692838,2504031.096163,3348456.1220666002,30,30,30,30,2026-08-05,2026-09-03,3317525.0,32605527.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,0.1,0.1,5,coredaoorg,Core
CRO,CRO-USDT-SWAP,CROUSDT,ok,True,crypto-com-chain,Cronos,markets_max_mcap,,2,"crypto-com-chain,cronos-zkevm-bridged-cro-cronos-zkevm",2797693235.0,0.0008085434753213748,0.0010549085267906435,0.8555485409115209,2262056.61111,2951310.448946001,30,30,30,30,2026-08-05,2026-09-03,7549361.0,2797693235.0,2026-08-05,2026-09-03,1e-05,1.0,1.0,1e-05,1.0,1.0,5,crypto-com-chain,Cronos
